abituzumab 33.36 50.21 58.55 37.38 99.53 19.15 301.27 877.35 1176.29 2044.64
abrilumab 3.42 -1.28 7.43 36.73 8.36 19.31 67.66 919.62 941.50 1849.14
adalimumab 3.18 19.58 29.51 116.77 41.76 55.55 263.84 907.11 1219.44 2109.09
alemtuzumab 31.13 109.97 113.78 59.37 59.35 156.55 539.40 1461.24 1302.77 2748.46
alirocumab 87.39 30.73 22.05 163.36 64.86 19.05 393.55 1270.47 966.63 2228.18
anifrolumab 51.86 1.38 8.50 14.56 50.18 15.44 127.33 863.01 1012.91 1858.90
atezolizumab 28.06 23.04 156.53 24.02 37.73 92.11 365.41 1228.49 1136.40 2343.40
bapineuzumab 57.50 111.20 92.68 58.18 65.25 120.57 518.61 1328.17 1117.12 2429.43
basiliximab 114.54 21.50 52.29 111.67 84.92 86.88 469.83 1139.55 1275.68 2418.88
bavituximab 32.34 3.79 25.91 50.79 55.80 26.74 200.12 948.20 803.21 1732.32
belimumab 30.84 20.99 178.70 94.76 120.37 136.85 578.47 1289.84 942.45 2193.43
benralizumab 62.18 36.98 67.83 30.02 135.51 37.61 376.33 1334.45 1231.47 2540.25
bevacizumab 61.35 3.65 113.58 21.93 66.94 33.45 290.62 1138.46 1149.58 2266.81
bimagrumab 71.56 61.48 24.81 78.92 162.18 43.29 442.22 1278.56 1229.89 2480.34
blosozumab 4.18 -2.21 27.84 53.44 92.06 3.63 166.12 855.17 1149.70 1991.20
bococizumab 71.40 101.38 131.33 41.26 88.06 84.96 524.86 1402.85 1290.17 2667.96
brentuximab 0.16 26.02 18.30 7.12 43.72 15.82 104.63 945.77 1087.92 2020.46
briakinumab 41.09 40.15 33.60 187.14 64.45 122.94 493.92 1289.54 1176.81 2446.48
brodalumab 106.25 38.59 86.24 3.67 61.69 28.62 313.57 1387.34 1111.54 2474.20
canakinumab 48.41 -2.11 82.17 67.27 113.12 38.78 354.75 1069.89 1021.89 2058.24
carlumab 22.61 9.09 7.94 -1.07 51.31 53.31 137.82 1003.01 987.78 1968.18
certolizumab 28.27 4.48 62.74 38.72 39.59 28.23 199.70 1025.74 1084.65 2095.88
cetuximab 71.40 29.85 41.84 37.09 39.44 22.18 246.88 1165.60 830.06 1963.78
cixutumumab 77.24 58.03 87.99 41.75 92.23 99.54 459.62 1253.44 903.24 2130.53
clazakizumab 39.93 4.46 36.97 22.45 49.00 45.04 192.95 1056.42 1061.50 2102.64
codrituzumab 53.31 14.69 67.46 270.84 139.03 103.08 650.15 965.55 1508.39 2454.42
crenezumab 16.63 13.77 3.09 61.92 86.47 60.20 242.08 964.91 1064.83 2013.02
dacetuzumab 51.38 35.00 100.16 145.90 92.13 101.50 534.96 1309.48 1410.48 2687.73
daclizumab 54.49 18.45 78.64 53.99 42.44 87.14 333.26 1060.00 1118.85 2161.69
dalotuzumab 72.35 23.89 107.39 191.13 123.59 97.62 621.81 1289.41 1318.04 2596.21
daratumumab 27.55 11.26 56.28 13.80 66.96 50.26 225.27 993.92 1097.46 2073.50
denosumab 42.21 10.15 77.49 142.88 81.87 61.18 415.96 1010.63 1221.24 2209.07
dinutuximab 18.90 22.54 16.21 292.17 182.89 136.52 672.22 1004.66 1775.62 2770.44
drozitumab -0.73 12.88 56.87 69.71 79.67 62.46 280.67 1024.65 897.22 1897.69
duligotuzumab 28.82 9.41 23.84 18.43 21.66 -6.39 85.87 909.96 974.47 1868.92
dupilumab 44.47 16.20 301.69 87.21 74.13 35.70 563.21 1260.64 1066.16 2312.93
eculizumab 65.17 33.26 45.76 22.25 15.63 15.48 188.59 975.56 915.42 1873.23
efalizumab 64.68 4.77 70.80 114.00 52.24 57.97 362.96 1123.96 1226.39 2322.39
eldelumab 26.12 9.08 27.19 27.99 53.89 22.10 159.52 1047.29 1054.54 2083.47
elotuzumab 34.28 -1.89 27.42 18.80 80.58 19.64 167.75 848.22 1075.82 1907.56
emibetuzumab 32.92 128.20 38.73 26.19 37.04 46.06 311.92 1259.08 1037.70 2272.95
enokizumab 25.22 7.00 26.00 116.26 67.23 32.56 267.16 964.09 1209.52 2150.63
epratuzumab 63.09 9.21 58.35 161.42 74.59 24.32 385.26 946.26 1225.96 2149.68
etrolizumab 62.12 37.23 51.29 11.88 55.46 30.22 248.50 1230.12 1015.20 2212.35
evolocumab 54.48 20.09 16.57 44.21 65.15 24.09 214.55 1191.20 992.64 2161.51
farletuzumab 37.72 10.32 49.10 36.66 39.93 39.11 207.31 1063.53 1056.74 2092.06
fasinumab -7.36 -2.67 22.30 64.37 43.67 46.65 159.35 941.36 1192.72 2121.64
fezakinumab 57.43 49.27 20.58 55.27 44.12 36.20 270.25 1342.47 846.66 2171.53
ficlatuzumab 55.12 80.06 32.55 28.09 40.09 30.88 268.81 1095.14 825.98 1886.15
figitumumab 44.91 4.63 85.10 70.57 157.66 34.11 402.83 1090.98 1413.88 2484.37
fletikumab 36.60 31.79 12.44 25.46 -3.46 32.37 126.68 1005.69 1025.56 2008.58
foralumab 83.43 49.57 56.59 16.65 58.97 89.02 347.09 1453.76 1129.81 2568.70
fresolimumab 11.40 -1.34 6.55 20.74 54.33 15.19 94.26 963.72 1019.71 1959.29
fulranumab 122.91 114.84 67.41 19.44 5.33 30.60 353.91 1093.98 937.86 2007.47
galiximab 54.50 8.25 96.18 40.84 98.89 17.76 314.76 948.52 883.86 1797.46
ganitumab 117.74 67.61 51.12 130.11 45.76 56.83 468.24 1414.11 1081.89 2485.09
gantenerumab 59.85 67.36 274.10 47.57 84.79 44.24 592.52 1387.49 1139.96 2487.57
gemtuzumab 5.20 13.06 36.94 52.83 46.84 21.42 172.89 989.78 1037.61 2008.06
gevokizumab 40.16 0.07 102.13 62.32 144.26 43.38 391.74 1166.53 1373.54 2519.31
girentuximab 71.57 17.65 115.22 32.39 63.68 36.96 336.65 1258.88 990.81 2211.68
glembatumumab 51.96 21.49 45.33 16.25 76.10 49.27 257.85 1325.49 1238.37 2537.64
golimumab 45.50 18.14 136.59 18.76 71.84 66.39 359.89 1329.42 1113.38 2426.39
guselkumab 57.03 21.43 56.06 70.62 123.06 46.47 372.63 858.42 988.05 1818.21
ibalizumab 47.62 -5.46 82.15 115.63 74.43 42.74 350.26 973.35 1074.88 2034.07
imgatuzumab 44.28 52.57 107.18 85.60 67.82 60.29 423.11 1194.86 1263.09 2426.56
infliximab 52.31 74.92 82.05 72.28 45.88 88.02 428.92 1007.11 848.10 1808.07
inotuzumab 114.82 38.85 74.07 75.02 60.72 70.47 434.59 1427.77 1147.55 2552.14
ipilimumab 44.35 7.84 28.58 31.03 57.94 25.42 188.33 1191.52 1076.49 2247.24
ixekizumab 18.89 9.78 76.98 322.43 144.85 82.58 660.77 1048.23 1567.57 2586.26
lampalizumab 67.57 3.97 39.85 -20.84 64.27 1.96 140.81 1054.40 1031.96 2061.31
lebrikizumab 38.16 39.43 31.66 37.73 22.36 27.01 198.01 1089.97 794.31 1858.57
lenzilumab 92.79 93.87 219.10 68.29 66.83 129.79 686.90 1678.56 1313.61 2956.56
lintuzumab 22.76 9.40 69.49 29.57 37.34 28.29 191.68 1043.64 1019.47 2040.93
lirilumab 29.33 11.66 40.42 10.36 51.40 47.86 184.76 1043.11 1028.09 2051.39
lumiliximab 53.65 13.46 15.52 47.99 30.35 96.87 248.77 1093.34 1109.35 2191.33
matuzumab 28.07 57.87 39.42 10.45 16.82 65.28 224.61 1049.06 1035.22 2078.40
mavrilimumab 5.69 -1.41 31.50 89.80 184.07 27.02 330.36 935.26 1187.58 2089.34
mepolizumab 80.54 34.84 94.53 168.85 94.52 56.62 534.95 1224.17 1198.15 2406.03
mogamulizumab 63.16 14.64 84.58 110.83 79.99 15.68 366.83 1199.91 1063.69 2251.84
motavizumab 53.61 28.26 23.70 50.51 51.75 52.40 264.15 1248.67 1095.21 2311.76
muromonab 83.33 83.85 22.57 23.73 82.52 39.09 335.05 1074.54 1088.88 2139.51
natalizumab 39.50 20.91 56.06 59.89 107.32 25.86 308.40 1142.66 1118.34 2233.77
necitumumab 21.41 6.11 21.41 13.33 55.85 22.48 135.01 1176.49 1055.46 2208.56
nimotuzumab 33.50 11.52 47.91 154.71 106.11 71.20 425.84 1040.90 1273.51 2282.34
nivolumab 20.36 42.15 13.83 19.86 54.84 59.78 211.52 1186.08 1078.88 2241.08
obinutuzumab 70.55 17.11 74.51 152.17 36.54 34.01 379.87 1149.60 1030.04 2165.48
ocrelizumab 75.80 28.18 77.46 38.59 40.26 37.30 294.72 1293.24 1075.02 2338.05
ofatumumab 33.43 7.97 37.86 19.03 61.82 46.30 204.35 1154.54 1046.14 2179.20
olaratumab 50.82 18.44 115.69 21.73 71.25 65.71 348.08 1120.42 1109.22 2215.99
olokizumab 9.52 43.90 51.25 21.25 42.29 36.45 204.90 893.78 999.01 1873.68
omalizumab 51.66 -3.77 91.71 14.25 23.28 32.68 199.48 1159.20 943.91 2086.15
onartuzumab 25.32 1.78 58.03 91.02 65.95 32.96 269.98 959.64 1158.08 2099.94
otelixizumab 41.92 53.14 95.09 31.65 42.89 26.45 293.89 1216.15 855.40 2042.93
otlertuzumab 38.87 15.45 21.26 49.22 74.22 54.73 258.98 908.20 976.56 1873.34
ozanezumab 41.50 59.52 7.51 120.64 69.44 19.41 320.45 1019.23 1122.34 2129.18
palivizumab 51.01 15.23 33.66 24.17 58.80 42.27 223.81 1209.41 1127.42 2310.97
panitumumab 15.41 8.22 46.54 8.15 17.47 35.44 130.62 1107.60 954.66 2039.48
panobacumab 57.83 3.11 135.70 73.48 110.94 83.30 469.60 1413.47 1390.22 2778.16
parsatuzumab 41.00 4.59 20.63 127.87 87.14 63.06 341.29 1149.74 1264.74 2380.87
patritumab 81.82 38.79 107.63 116.08 75.81 56.09 476.73 1332.94 989.07 2298.73
pembrolizumab 44.78 31.03 52.26 121.40 33.17 54.40 345.42 1056.30 1031.15 2075.90
pertuzumab 25.99 14.52 26.37 19.89 69.96 26.28 174.26 1044.73 1139.79 2159.29
pinatuzumab 59.79 8.88 37.28 103.64 81.89 35.87 319.18 1118.28 1243.48 2337.95
polatuzumab 53.62 -0.16 95.99 2.02 36.27 13.11 193.26 1042.80 992.30 2023.69
ponezumab 16.02 40.75 81.65 97.53 93.01 117.45 453.07 1175.73 1374.79 2539.80
radretumab 52.27 21.64 40.59 52.86 59.81 55.00 277.25 1052.43 1137.00 2172.59
ramucirumab 27.79 3.27 9.75 52.45 8.31 34.16 130.63 1021.56 1051.60 2061.99
ranibizumab 57.42 6.22 92.26 12.64 62.15 30.92 249.41 1117.13 1137.50 2235.48
reslizumab 54.85 8.88 14.37 32.57 27.45 39.83 169.36 1021.19 1018.00 2020.47
rilotumumab 31.16 14.43 26.32 8.71 85.69 38.81 196.08 1154.41 1398.30 2536.39
rituximab 71.06 23.32 58.95 59.69 50.97 50.83 311.93 1069.43 1149.02 2207.70
robatumumab 47.47 28.42 73.57 82.65 64.99 171.57 465.78 1200.57 1237.78 2420.51
romosozumab 17.58 10.78 1.72 10.49 60.36 7.69 100.23 1054.28 1016.14 2032.97
sarilumab 19.50 42.29 15.38 32.46 20.92 16.11 144.87 1098.65 998.87 2067.47
secukinumab 28.07 -6.16 31.03 34.06 55.30 25.43 158.98 1166.29 1080.19 2226.39
seribantumab 121.80 41.69 74.57 40.23 65.38 30.71 362.23 1220.13 1004.47 2196.86
sifalimumab 65.97 19.24 85.12 42.74 57.89 84.42 348.81 1297.12 1178.52 2462.91
siltuximab 41.03 12.44 38.20 23.37 14.63 38.07 162.40 1095.51 1016.01 2092.23
simtuzumab 68.72 54.38 50.06 197.17 86.13 42.05 502.98 1159.39 1175.77 2326.98
sirukumab 54.60 38.87 51.58 5.05 23.52 44.65 215.58 1103.59 898.96 1976.58
tabalumab 56.56 34.98 65.84 58.31 74.58 106.90 397.24 1195.74 1208.55 2393.97
tanezumab 37.41 -0.45 55.54 53.47 131.42 29.23 300.95 1047.71 1289.61 2314.35
teplizumab 70.55 83.49 27.96 13.93 61.07 19.99 279.21 1222.12 965.20 2154.56
tigatuzumab 44.92 29.09 120.23 32.94 99.91 78.80 405.60 1255.20 1298.89 2541.77
tildrakizumab 81.69 13.17 75.74 71.44 81.05 48.47 370.02 1098.92 1148.60 2239.55
tocilizumab 46.80 44.56 90.80 29.55 120.16 28.40 362.14 1422.79 1272.12 2652.44
tovetumab 26.48 12.55 131.20 109.46 122.90 46.98 457.85 1216.00 1337.84 2534.08
tralokinumab 62.42 -4.25 68.21 50.61 3.98 43.29 222.75 1114.19 882.29 1973.10
trastuzumab 33.70 53.16 70.29 45.14 53.98 61.82 320.60 1204.06 1210.02 2383.97
tremelimumab 48.33 10.97 89.62 34.33 25.97 17.99 223.89 1275.20 1026.22 2280.60
urelumab 66.82 36.99 46.15 9.43 59.06 57.39 271.68 1005.03 1068.04 2062.80
ustekinumab 81.60 3.00 195.00 49.01 42.62 59.44 427.83 1095.25 1071.32 2136.28
vedolizumab 30.37 -3.82 4.03 147.94 50.61 64.96 289.12 982.95 1155.90 2126.85
veltuzumab 34.90 0.02 39.57 32.31 35.55 30.64 166.97 1078.54 1059.89 2115.08
visilizumab 100.69 106.18 75.53 -2.44 69.55 18.26 372.93 1269.88 1078.14 2312.87
zalutumumab 29.38 5.33 43.21 1.04 2.67 29.45 108.28 1160.79 941.98 2081.37
zanolimumab 74.14 40.34 39.78 23.51 26.26 18.63 213.25 1210.54 1129.13 2317.12
