abituzumab 3.86 4.35 8.72 2.15 4.70 6.79 30.68 45.53 36.43 82.66
abrilumab 3.42 1.08 1.83 2.09 2.40 6.01 17.93 43.01 31.23 74.51
adalimumab 2.13 2.52 14.45 1.90 3.59 3.17 27.50 58.42 30.52 89.33
alemtuzumab 2.27 3.70 5.04 2.22 2.76 3.33 20.66 52.66 32.29 85.86
alirocumab 2.34 0.49 5.75 6.34 2.48 4.47 23.01 52.35 43.46 95.66
anifrolumab 9.21 1.46 6.46 3.27 0.75 2.08 23.75 56.85 33.33 90.74
atezolizumab 1.75 4.33 8.62 1.62 10.41 9.99 38.11 57.12 44.69 101.71
bapineuzumab 1.77 -0.04 6.95 4.84 4.04 5.51 25.01 52.49 51.36 103.77
basiliximab 2.86 1.46 10.04 2.12 3.52 3.28 23.94 46.56 35.81 82.24
bavituximab 3.01 6.43 14.83 -0.08 2.20 3.21 29.92 48.26 31.16 79.75
belimumab -0.16 10.50 27.50 3.77 0.98 1.47 45.30 64.14 40.72 104.01
benralizumab 2.59 2.36 19.24 6.75 2.19 9.08 43.28 56.67 40.67 98.00
bevacizumab 2.69 3.93 17.87 1.64 4.10 6.32 36.89 67.44 36.90 103.84
bimagrumab 1.10 3.71 5.40 5.95 1.64 11.13 28.99 44.57 42.83 87.19
blosozumab 5.99 4.68 3.89 1.38 3.37 6.42 26.60 40.99 36.38 77.00
bococizumab 3.30 5.28 15.26 1.40 6.20 9.34 40.96 49.67 39.81 89.57
brentuximab 2.81 1.59 10.09 3.98 3.10 2.39 25.14 44.05 44.38 89.16
briakinumab 2.77 2.44 0.38 0.87 2.40 10.20 19.33 37.25 49.13 86.76
brodalumab 2.82 3.10 10.11 0.96 0.48 5.71 22.28 46.76 35.77 83.19
canakinumab 6.40 4.30 7.69 0.54 5.10 8.20 32.52 57.49 37.99 96.99
carlumab 1.44 14.82 14.72 3.56 0.93 10.84 47.02 63.31 47.06 110.85
certolizumab 6.70 11.45 5.19 0.36 10.60 10.87 47.58 67.71 49.71 118.63
cetuximab 2.81 1.75 20.81 0.62 3.46 5.03 34.88 63.38 44.27 109.14
cixutumumab 1.58 13.68 29.49 3.71 1.34 0.95 50.96 69.72 40.36 111.01
clazakizumab 2.43 1.33 7.03 0.71 4.35 10.92 27.43 53.17 41.01 93.71
codrituzumab 2.25 0.47 10.41 4.38 2.59 6.37 28.86 50.02 52.76 102.85
crenezumab 2.56 0.50 3.86 7.90 2.56 6.80 26.59 42.72 56.97 99.60
dacetuzumab 3.08 4.03 6.45 4.38 3.26 6.75 29.02 55.68 37.94 94.03
daclizumab 2.93 4.15 5.09 2.69 3.89 5.73 25.90 45.40 38.86 84.01
dalotuzumab 5.52 2.33 7.43 4.38 5.50 5.84 33.40 54.56 54.76 109.34
daratumumab 3.14 0.30 26.26 1.86 0.19 6.30 38.34 73.47 38.45 111.45
denosumab 2.49 0.11 15.97 2.55 0.56 1.85 23.77 61.60 33.18 95.32
dinutuximab 2.47 8.84 4.50 4.25 1.58 9.33 32.31 44.65 46.84 91.22
drozitumab 3.25 2.46 13.24 4.12 1.60 1.34 26.87 47.99 43.73 91.40
duligotuzumab 1.68 6.30 8.97 0.96 10.47 3.75 34.22 56.72 38.00 95.31
dupilumab 1.71 0.40 24.22 16.73 1.89 4.46 49.76 56.48 60.77 118.12
eculizumab 10.03 2.12 15.10 6.32 4.31 5.35 44.62 60.09 38.89 99.63
efalizumab 1.77 0.15 23.04 2.08 2.91 4.31 34.39 63.37 32.15 95.90
eldelumab 0.62 7.66 18.75 1.84 0.48 7.05 36.13 55.54 39.93 96.37
elotuzumab 2.37 0.11 8.29 5.86 2.80 6.01 26.02 60.09 39.71 100.02
emibetuzumab 2.21 0.36 4.93 7.80 3.75 7.54 27.56 31.89 44.05 76.54
enokizumab 5.50 2.16 10.65 4.18 5.70 7.56 37.03 48.86 40.91 89.92
epratuzumab 2.80 2.64 11.77 7.82 2.47 6.32 34.24 45.79 41.49 86.78
etrolizumab 7.38 2.15 4.10 2.14 4.29 6.27 26.50 54.31 35.29 90.07
evolocumab 4.17 5.08 4.05 4.81 1.10 3.07 22.97 38.53 30.85 69.26
farletuzumab 2.62 4.37 7.72 1.65 3.46 14.82 36.23 52.85 45.12 97.96
fasinumab 4.24 1.02 15.61 1.33 7.36 6.10 37.54 58.00 36.91 95.29
fezakinumab 2.01 4.28 7.33 3.86 0.66 6.03 25.33 55.07 48.11 103.97
ficlatuzumab 3.14 -0.26 11.94 5.43 1.36 6.53 29.59 52.69 43.00 94.59
figitumumab 2.81 0.39 25.31 0.42 3.30 5.78 36.96 63.02 36.73 99.02
fletikumab 1.38 3.54 20.49 0.22 2.37 5.70 33.91 51.88 31.54 84.27
foralumab 3.45 4.98 12.64 2.30 0.64 7.61 31.03 58.58 41.30 99.48
fresolimumab 1.86 17.25 23.12 2.78 3.43 2.58 52.08 74.63 37.53 112.36
fulranumab 2.62 0.49 13.85 0.76 2.49 5.00 25.46 62.92 31.95 96.74
galiximab 2.06 1.58 34.10 3.68 2.40 5.19 49.27 82.25 45.09 128.79
ganitumab 0.46 0.97 2.76 7.85 2.01 5.66 20.56 38.71 53.02 91.93
gantenerumab 1.83 0.15 14.45 1.87 0.68 7.41 27.21 58.05 38.82 97.30
gemtuzumab 3.59 5.00 8.82 9.24 1.58 6.16 34.35 51.92 38.91 91.12
gevokizumab 2.09 2.28 9.69 2.27 4.91 8.84 30.55 49.86 37.24 88.66
girentuximab 1.33 4.35 7.73 3.70 1.81 6.39 27.15 54.05 34.91 89.40
glembatumumab 6.59 3.52 8.68 0.76 1.06 8.38 29.10 54.48 37.69 92.93
golimumab 9.65 2.27 23.06 6.46 0.99 8.05 49.35 61.49 48.58 109.81
guselkumab 3.03 2.35 14.75 2.74 1.84 11.32 36.32 58.46 54.44 113.55
