abituzumab 26.56 6.04 32.17 122.07 5.67 113.76 317.86 542.91 520.88 1062.81
abrilumab 182.04 178.28 119.25 44.66 37.80 101.43 672.62 1143.67 451.48 1579.04
adalimumab 166.80 62.52 61.63 18.17 6.93 106.42 430.54 817.64 362.91 1185.11
alemtuzumab 47.98 11.40 21.22 74.93 13.73 39.95 222.46 358.02 373.39 736.40
alirocumab 32.46 10.00 116.72 42.27 27.23 108.37 352.93 436.25 505.50 933.40
anifrolumab 27.05 69.01 156.93 116.76 19.94 124.06 531.88 618.64 548.38 1169.50
atezolizumab 40.75 10.97 -1.90 93.77 18.89 64.64 233.32 311.49 435.05 748.66
bapineuzumab 29.53 -7.51 47.65 112.76 22.12 9.93 208.97 290.64 335.51 620.42
basiliximab 7.67 32.66 77.60 22.30 11.92 45.58 198.51 433.75 277.66 709.02
bavituximab 37.88 65.17 90.12 95.39 29.91 69.46 403.53 611.39 562.01 1173.69
belimumab 34.93 44.45 13.73 45.20 -5.17 37.87 170.77 401.49 544.14 954.52
benralizumab 27.18 32.25 57.69 188.75 4.14 103.99 422.98 380.23 615.35 986.74
bevacizumab 27.02 31.16 60.79 158.23 17.31 111.14 422.24 434.47 616.95 1039.17
bimagrumab 14.88 1.05 25.24 42.59 -4.82 64.85 142.74 303.19 309.40 609.27
blosozumab 172.16 202.69 142.87 109.28 13.09 171.45 823.50 1230.82 560.49 1782.18
bococizumab 15.24 3.37 22.90 45.38 4.51 52.38 150.83 328.89 307.79 636.05
brentuximab 64.76 14.19 67.25 242.77 43.80 176.61 609.25 492.17 772.71 1264.11
briakinumab 26.79 6.41 0.53 -3.73 21.80 30.99 81.76 183.86 276.63 471.95
brodalumab 3.56 10.69 17.24 136.75 31.48 136.69 342.25 304.34 552.65 852.16
canakinumab 37.36 119.10 23.68 35.02 -2.28 77.91 300.21 537.13 396.61 948.29
carlumab 62.12 56.29 186.06 148.51 41.64 82.30 585.71 721.06 598.04 1316.65
certolizumab 69.49 58.22 16.09 45.33 12.95 88.06 306.24 475.03 401.10 878.46
cetuximab 14.20 18.35 96.31 67.60 60.70 118.45 373.89 414.17 574.84 984.58
cixutumumab 9.38 13.98 160.22 70.30 5.55 29.16 303.71 428.50 523.42 950.56
clazakizumab 38.34 87.66 221.31 93.72 32.85 137.99 642.40 755.13 550.89 1309.18
codrituzumab 79.48 91.75 23.30 5.21 -6.96 20.36 191.93 523.10 154.02 682.83
